Majors	Degrees
Applied Linguistics, B.A./M.A.	Bachelor's, Dual Undergraduate/Graduate, Master's, Specialist
Applied Linguistics, M.A.	Master's, Specialist
Applied Linguistics, Ph.D.	Ph.D., Professional Doctorate
Applied Statistics, M.S.	Master's, Specialist
Arabic Language and Literature, Minor	Bachelor's, Minor
Art Education, B.F.A.	Bachelor's
Art Education, M.A. Ed.	Master's, Specialist
Art Education, M.A.T.	Master's, Specialist
Art History, B.A. in Art	Bachelor's
Art History, Dual Undergraduate/Graduate	Bachelor's, Dual Undergraduate/Graduate, Master's, Specialist
Art History, M.A.	Master's, Specialist
Art Pathway, A.A. or A.S.	Associate
Artificial Intelligence Business Innovation, Graduate Certificate	Master's, Specialist, Graduate Certificate
Artist Certificate, Concentration in Choral Conducting, ACERM	Master's, Specialist
Artist Certificate, Concentration in Jazz Studies, ACERM	Master's, Specialist, Graduate Certificate
Artist Certificate, Concentration in Orchestral Conducting, ACERM	Master's, Specialist
Artist Certificate, Concentration in Orchestral Instrument Performance, ACERM	Master's, Specialist
Artist Certificate, Concentration in Organ Performance, ACERM	Master's, Specialist, Graduate Certificate
Artist Certificate, Concentration in Piano Performance, ACERM	Master's, Specialist
Artist Certificate, Concentration in Voice Performance, ACERM	Master's, Specialist
Artist Certificate, Concentration in Wind Band Conducting, ACERM	Master's, Specialist
Arts Administration, B.I.S.	Bachelor's
Asian Studies, B.I.S.	Bachelor's
Astronomy, Ph.D.	Ph.D., Professional Doctorate
Audiology Assistant Certificate	Associate, Bachelor's, Undergraduate Certificate
Audiology Specialty Certificate	Master's, Specialist, Graduate Certificate
Bachelor of Arts in Political Science	Bachelor's
Bachelor of Interdisciplinary Studies (BIS) concentration in Arts & Sciences, Online	Bachelor's
Bachelor of Music, Concentration in Composition, B.Mu.	Bachelor's
Bachelor of Music, Concentration in Jazz Studies, B.Mu.	Bachelor's
Bachelor of Music, Concentration in Music Education, B.Mu.	Bachelor's
Bachelor of Music, Concentration in Music Performance, B.Mu.	Bachelor's
Bachelor of Science, Concentration in Music Production & Audio Recording, B.S.	Bachelor's
Bachelor/J.D.	Bachelor's, Dual Undergraduate/Graduate
Biological Sciences, M.S.	Master's, Specialist
Biological Sciences, Ph.D.	Ph.D., Professional Doctorate
Biology Pathway, A.S.	Associate
Biology, B.S.	Bachelor's
Biology, B.S., Health Sciences with a concentration in Nutrition, M.S.	Bachelor's, Dual Undergraduate/Graduate, Master's, Specialist
Biology, B.S./M.S.	Bachelor's, Dual Undergraduate/Graduate, Master's, Specialist
Biology, B.S./Medical Sciences in Biology, M.S.	Bachelor's, Dual Undergraduate/Graduate
Biomedical Science and Enterprise, B.I.S.	Bachelor's
Biomedical Science and Enterprise, M.I.S.	Master's, Specialist
Biostatistics Concentration, MPH	Master's, Specialist
Birth Through Five, B.S.Ed.	Bachelor's
Birth Through Five, Graduate Certificate	Master's, Specialist, Graduate Certificate
Business Administration Pathway, A.S.	Associate
Business Analytics Undergraduate Certificate	Bachelor's, Undergraduate Certificate
Business Economics, B.B.A.	Bachelor's
Ceramics, B.F.A.	Bachelor's
Ceramics, M.F.A.	Master's, Specialist
Chaplaincy Studies, Graduate Certificate	Master's, Specialist, Graduate Certificate
Chemistry Pathway, A.S.	Associate
Chemistry, B.S.	Bachelor's
